,tweets,os,cleaned,english,len,sw_removed,stemmed
3931,"@rblava I have 2 new Roku, 1 older Chromecast and a new Google TV Chromecast
 Got that and a Google mini for $49 recently
 I only need so many devices on one person
 And I will never have an Apple TV or pay them for anything",9.4,rblava i have new roku older chromecast and a new google tv chromecast got that and a google mini for recently i only need so many devices on one person and i will never have an apple tv or pay them for anything,i have new older and a new got that and a for recently i only need so many on one person and i will never have an apple or pay them for anything,33,new older new got recently need many person never apple pay anything,new older new got recent need mani person never appl pay anyth
3932,@BrianFeroldi opposite for me. used the last 9 months to accumulate more TSLA and got some ZM ROKU at good prices as well.,9.4,brianferoldi opposite for me used the last months to accumulate more tsla and got some zm roku at good prices as well,opposite for me used the last to accumulate more and got some at good as well,16,opposite used last accumulate got good well,opposit use last accumul got good well
3933,"$AAPL struggling to go higher afterhours. I feel it takes a breather &amp; dips before regaining uptrend. Hope I'm wrong
 

 $TSLA $AMZN $AAPL $AMC $NVDA $FB $MSFT $MRNA $ROKU $BABA $BA $AMD $CLOV $WISH $SHOP $SQ $NIO $GOOGL $NFLX $GOOG $JPM $PLUG $F $ABNB $DIS $PLTR $SNAP $MU $C $PYPL https://t.co/LFq4JHhsnT",9.4,aapl struggling to go higher afterhours i feel it takes a breather amp dips before regaining uptrend hope i m wrong tsla amzn aapl amc nvda fb msft mrna roku baba ba amd clov wish shop sq nio googl nflx goog jpm plug f abnb dis pltr snap mu c pypl https t co lfq jhhsnt,struggling to go higher afterhours i feel it a breather before uptrend hope i m wrong baba ba wish shop plug f dis snap mu c t,27,struggling go higher afterhours feel breather uptrend hope wrong baba ba wish shop plug dis snap mu,struggl go higher afterhour feel breather uptrend hope wrong baba ba wish shop plug di snap mu
3934,"@KingMaba @slinganswers Man, I have done that 3 times with no luck. Even bought a newer @roku device. Still nothing. Glad yours was an easy fix!",9.4,kingmaba slinganswers man i have done that times with no luck even bought a newer roku device still nothing glad yours was an easy fix,man i have done that times with no luck even bought a device still nothing glad yours was an easy fix,21,man done times luck even bought still nothing glad easy fix,man done time luck even bought still noth glad easi fix
3938,"$BIIB Ye gave a $500 price target on @cnbc can break $330s by next Friday imo. SQUEEZE!!https://t.co/RDjJGwUULY
 

 $TTD $TDOC $TSLA $Z $ETSY $QCOM $NFLX $UBER $INTC $PLNT $MU $SNBR $CCIV $SBUX $LYFT $SQ $MELI $BA $LMND $FVRR $TWLO $PINS $ROKU $SNAP $BILI $SNOW $TWTR $AMD $AMC",9.4,biib ye gave a price target on cnbc can break s by next friday imo squeeze https t co rdjjgwuuly ttd tdoc tsla z etsy qcom nflx uber intc plnt mu snbr cciv sbux lyft sq meli ba lmnd fvrr twlo pins roku snap bili snow twtr amd amc,ye gave a price target on can break s by next squeeze t z mu ba snap snow,18,ye gave price target break next squeeze mu ba snap snow,ye gave price target break next squeez mu ba snap snow
3940,"$BIIB DRUG WORKS!! $400+ coming. A NO BRAINER!!https://t.co/gn7eNWBgsM
 

 $BTC $ETH $LINK $XTZ $ADA $VET $KNC $SXP $TWTR $ES $JD $BABA $BIDU $TME 
 $SPY $QQQ $DIS $TSLA $SHOP
 $AMD $SQ $AMZN 
 $EA $SEDG $MA $V $KO $PYPL $RCL $GOOG $NKLA $DKNG $HD $ROKU $NFLX $FB $GLD $VXX $MSFT $DE",9.4,biib drug works coming a no brainer https t co gn enwbgsm btc eth link xtz ada vet knc sxp twtr es jd baba bidu tme spy qqq dis tsla shop amd sq amzn ea sedg ma v ko pypl rcl goog nkla dkng hd roku nflx fb gld vxx msft de,drug works coming a no brainer t link vet es baba spy dis shop ea ma v ko de,19,drug works coming brainer link vet es baba spy dis shop ea ko de,drug work come brainer link vet es baba spi di shop ea ko de
3941,"The #roku remote weekly hunt is over. Thank you to my cleaning peepsâ€¦now we can watch tv in the bedroom again, that is until we lose it again. https://t.co/U3l1FAb9QD",9.4,the roku remote weekly hunt is over thank you to my cleaning peeps now we can watch tv in the bedroom again that is until we lose it again https t co u l fab qd,the remote weekly hunt is over thank you to my cleaning now we can watch in the bedroom again that is until we lose it again t u l,29,remote weekly hunt thank cleaning watch bedroom lose,remot weekli hunt thank clean watch bedroom lose
3947,"IUIC TV, Going Live Worldwide! Available on all streaming platforms. Easy access to #classes, #documentaries, and more! Download the app today! 
 

 WWW.IUIC. TV 
 #IUIC
 #APPLETV #ROKU #APPLE #ANDROID #AMAZONFIRESTICKÂ Â #SAMSUNGTV https://t.co/gQugRBa9YP",9.4,iuic tv going live worldwide available on all streaming platforms easy access to classes documentaries and more download the app today www iuic tv iuic appletv roku apple android amazonfirestick samsungtv https t co gqugrba yp,going live available on all streaming easy access to classes and more the today apple android t,17,going live available streaming easy access classes today apple android,go live avail stream easi access class today appl android
3948,"The hard part of the morning workout on an exercise glider is choosing the movie (or TV show) 
 

 Operating a Roku remote control from the next room is also like shooting the tin can off of someone's head using a .22 snub",9.4,the hard part of the morning workout on an exercise glider is choosing the movie or tv show operating a roku remote control from the next room is also like shooting the tin can off of someone s head using a snub,the hard part of the morning workout on an exercise glider is choosing the movie or show operating a remote control from the next room is also like shooting the tin can off of someone s head a snub,39,hard part morning workout exercise glider choosing movie show operating remote control next room also like shooting tin someone head snub,hard part morn workout exercis glider choos movi show oper remot control next room also like shoot tin someon head snub
3949,Great event still enjoy watching on demand with TKDS SPORTS on Roku TV Team Ohio-Coffee recommends players to watch the games they played in will help improve their game https://t.co/OJRhxO1v8H,9.4,great event still enjoy watching on demand with tkds sports on roku tv team ohio coffee recommends players to watch the games they played in will help improve their game https t co ojrhxo v h,great event still enjoy watching on demand with sports on team coffee to watch the they in will help improve their game t v h,25,great event still enjoy watching demand sports team coffee watch help improve game,great event still enjoy watch demand sport team coffe watch help improv game
3951,@Roku I have been waiting for this remote for 9 days and I still donâ€™t have it and I donâ€™t care what the order says. I PLACED the order on the 8th or 9th https://t.co/siVNnbvUSP,9.4,roku i have been waiting for this remote for days and i still don t have it and i don t care what the order says i placed the order on the th or th https t co sivnnbvusp,i have been waiting for this remote for days and i still don t have it and i don t care what the order i the order on the th or th t,33,waiting remote days still care order order th th,wait remot day still care order order th th
3953,Just trying to watch @TedLasso and itâ€™s the only show that wonâ€™t play on my @AppleTV on @Roku. Itâ€™s not the internet because every single other show will play https://t.co/wN17MlCEXy,9.4,just trying to watch tedlasso and it s the only show that won t play on my appletv on roku it s not the internet because every single other show will play https t co wn mlcexy,just trying to watch and it s the only show that won t play on my on it s not the because every single other show will play t,29,trying watch show play every single show play,tri watch show play everi singl show play
3954,@BahamaBen9 @PelotonHolder Yeah I have been a Roku bull since 2018. They have done well. Great execution. Not selling as long as they are dominating.,9.4,bahamaben pelotonholder yeah i have been a roku bull since they have done well great execution not selling as long as they are dominating,yeah i have been a bull since they have done well great execution not selling as long as they are,20,yeah bull since done well great execution selling long,yeah bull sinc done well great execut sell long
3955,"I swear, the guy who designed the Roku remote fr decided to create the most elusive device on the planet",9.4,i swear the guy who designed the roku remote fr decided to create the most elusive device on the planet,i swear the guy who designed the remote decided to create the most elusive device on the planet,18,swear guy designed remote decided create elusive planet,swear guy design remot decid creat elus planet
3958,NBC Sports Roku app seems to have decided I suddenly live in Chicago and I am thus blacked out from watching the Flyers game lol,9.4,nbc sports roku app seems to have decided i suddenly live in chicago and i am thus blacked out from watching the flyers game lol,sports to have decided i suddenly live in and i am thus out from watching the game,17,sports decided suddenly live thus watching game,sport decid suddenli live thu watch game
3964,But now Iâ€™m back at panels and listening to @AshleyRReports moderate an interesting convo on Rokuâ€™s push into original content #AWNewYork https://t.co/mV3qErS94G,9.4,but now i m back at panels and listening to ashleyrreports moderate an interesting convo on roku s push into original content awnewyork https t co mv qers g,but now i m back at and listening to moderate an interesting on s push into original content t g,20,back listening moderate interesting push original content,back listen moder interest push origin content
